position,11x,11y,angle,percentage,polarity
"11,13,15",315,315,302.12944191123415,82.12944191123415,1
"11,13,15",315,317,295.83620573459325,75.83620573459325,1
"11,13,15",315,317,289.6687077061114,69.66870770611138,1
"11,13,15",315,317,283.2207877374682,63.220787737468186,1
"11,13,15",315,317,272.68212973983987,52.682129739839866,1
"11,13,15",315,317,267.19001801013087,47.19001801013087,1
"11,13,15",315,316,263.9070479571851,43.907047957185114,1
"11,13,15",315,314,249.11203675613172,29.112036756131715,1
"11,13,15",313,314,242.10272896905238,22.10272896905238,1
"11,13,15",311,314,237.44407138942674,17.44407138942674,1
"11,13,15",310,314,228.00433760049356,8.004337600493557,1
"11,13,15",310,314,222.37755401668457,2.37755401668457,1
"11,13,15",308,314,218.2150431464004,0.0,1
"11,13,15",306,314,212.85440194873837,0.0,1
"11,13,15",304,315,207.21443903540745,0.0,1
"11,13,15",302,316,204.52110433386227,0.0,1
"11,13,15",302,318,198.54356086590158,0.0,1
"11,13,15",299,319,193.23763837209916,0.0,1
"11,13,15",297,319,189.42649862775383,0.0,1
"11,13,15",293,319,188.40106618660212,0.0,1
"11,13,15",291,318,186.51808887024274,0.0,1
"11,13,15",288,318,185.14104030861344,0.0,1
"11,13,15",287,318,183.12838532328527,0.0,1
"11,13,15",287,318,181.56998242084543,0.0,1
"11,13,15",286,318,180.1961715509342,0.0,1
"11,13,15",286,317,180.17664862645265,0.0,1
"11,13,15",286,317,180.73762367779096,0.0,1
"11,13,15",286,318,180.0057868679243,0.0,1
"11,13,15",286,318,180.9775122411562,0.0,1
"11,13,15",286,318,180.97421006817638,0.0,1
"11,13,15",286,318,181.2841932268,0.0,1
"11,13,15",286,318,181.899624675745,0.0,1
"11,13,15",287,319,182.62200734310434,0.0,1
"11,13,15",288,320,182.30426387260414,0.0,1
"11,13,15",290,320,182.63736284175351,0.0,1
"11,13,15",291,320,185.42548087024088,0.0,1
"11,13,15",294,320,185.7922958919094,0.0,1
"11,13,15",297,321,186.10468487692887,0.0,1
"11,13,15",298,321,185.8454892879643,0.0,1
"11,13,15",300,321,186.54378856565597,0.0,1
"11,13,15",301,321,186.97442075471676,0.0,1
"11,13,15",302,321,187.91786138574517,0.0,1
